marca,modelo,tipo,proveedor,precio_compra,precio_venta,notas
Samsung,A30,LCD,J&A,150,300,
Samsung,A30,OLED,J&A,250,450,
Samsung,A31,LCD,J&A,120,330,
Samsung,A31,OLED,J&A,250,450,
Samsung,A32,LCD,J&A,170,330,
Samsung,A32,OLED,J&A,320,530,
Samsung,A34,LCD,J&A,220,380,
Samsung,A34,OLED,J&A,390,600,
Samsung,A50,LCD,J&A,125,280,
Samsung,A50,OLED,J&A,250,450,
Samsung,A51,LCD,J&A,160,330,
Samsung,A51,OLED,J&A,330,550,
Samsung,A52,LCD,J&A,150,290,
Samsung,A52,OLED,J&A,300,490,
Samsung,A54,LCD,J&A,180,300,
Samsung,A54,OLED,J&A,310,460,
Samsung,A70,LCD,J&A,140,350,
Samsung,A70,OLED INFINITA,J&A,410,550,
Samsung,A70,OLED REDUCIDA,J&A,230,550,
Samsung,A71,LCD,J&A,150,300,
Samsung,A71,OLED,J&A,340,470,
Samsung,J6 Plus,LCD,J&A,90,200,
Samsung,J7 Pro,LCD,J&A,140,300,
Samsung,M31,LCD,J&A,145,290,
Samsung,M31,OLED,J&A,315,500,

Tecno,Camon 17P,LCD,J&A,135,270,
Tecno,Pop 5 Lite,LCD,J&A,105,230,
Tecno,Pop 7,LCD,J&A,105,230,
Tecno,Pova 2,LCD,J&A,140,290,
Tecno,Pova 4,LCD,J&A,120,270,
Tecno,Pova 4 Pro,INCELL,J&A,140,300,
Tecno,Pova 4 Pro,OLED,J&A,380,680,
Tecno,Pova 5,LCD,J&A,145,310,
Tecno,Pova Neo,LCD,J&A,115,240,
Tecno,Spark 10 Pro,LCD,J&A,130,280,
Tecno,Spark 20,LCD,J&A,130,290,
Tecno,Spark 6 Go,LCD,J&A,100,250,
Tecno,Spark 7 Pro,LCD,J&A,120,270,
Tecno,Spark GO 2023,LCD,J&A,100,240,

Xiaomi,Mi 9T,INCELL,J&A,135,280,
Xiaomi,Poco F3,INCELL,J&A,160,300,
Xiaomi,Poco M3,LCD,J&A,130,290,
Xiaomi,Poco X3,LCD,J&A,105,260,
Xiaomi,Poco X4 Pro 5G,INCELL,J&A,130,290,
Xiaomi,Poco X4 Pro 5G,OLED,J&A,300,490,
Xiaomi,Poco X5 Pro,LCD,J&A,170,350,

Xiaomi,Redmi 7A,LCD,J&A,110,240,
Xiaomi,Redmi 9,LCD,J&A,125,280,
Xiaomi,Redmi 9T,LCD,J&A,120,280,
Xiaomi,Redmi 10,LCD,J&A,110,260,
Xiaomi,Redmi 10C,LCD,J&A,115,260,
Xiaomi,Redmi 12,LCD,J&A,125,280,
Xiaomi,Redmi 13C,LCD,J&A,120,280,
Xiaomi,Redmi 14C,LCD,J&A,120,290,
Xiaomi,Redmi A3,LCD,J&A,115,260,

Xiaomi,Redmi Note 8,LCD,J&A,115,280,
Xiaomi,Redmi Note 8 Pro,LCD,J&A,110,260,
Xiaomi,Redmi Note 9,LCD,J&A,100,250,
Xiaomi,Redmi Note 9 Pro,LCD,J&A,105,250,
Xiaomi,Redmi Note 9S,LCD,J&A,100,250,
Xiaomi,Redmi Note 10,INCELL,J&A,160,280,
Xiaomi,Redmi Note 10,OLED,J&A,290,450,
Xiaomi,Redmi Note 10 5G,LCD,J&A,120,280,
Xiaomi,Redmi Note 10 Pro,INCELL,J&A,120,260,
Xiaomi,Redmi Note 10 Pro,OLED,J&A,300,480,
Xiaomi,Redmi Note 11,INCELL,J&A,140,300,
Xiaomi,Redmi Note 11 5G,LCD,J&A,130,280,
Xiaomi,Note 11 Pro,LCD,J&A,120,280,
Xiaomi,Note 11 Pro,OLED,J&A,300,490,
Xiaomi,Redmi Note 12 4G,INCELL,J&A,150,300,
Xiaomi,Redmi Note 12 4G,OLED,J&A,350,550,
Xiaomi,Redmi Note 12 Pro,INCELL,J&A,150,340,
Xiaomi,Redmi Note 12 Pro,OLED,J&A,300,500,
Xiaomi,Redmi Note 12S,INCELL,J&A,150,320,
Xiaomi,Redmi Note 12S,OLED,J&A,380,590,
Xiaomi,Redmi Note 13,INCELL,J&A,130,290,
Xiaomi,Redmi Note 14,INCELL,J&A,130,310,
Xiaomi,Redmi Note 11 Pro Plus 5G,OLED,J&A,370,570,

ZTE,Blade A31 Plus,LCD,J&A,130,290,
ZTE,Blade A52 Plus,LCD,J&A,120,260,
